search_text,rule_id,title,record_type,source_pdf_page,source_printed_page,source_section
ごみ出しルール4原則 / rules:ごみカレンダーを見て、決められた日の朝出す。収集後は絶対に出さない。、決められた場所に出す。、正しく分別して出す。、決められた方法で出す。ごみ袋の色を守る。,four_principles,ごみ出しルール4原則,general_rule,4,3,ごみ出しルール4原則
ごみ集積場所の1回あたり排出上限 / rule:ごみ集積場所に出せるごみは、1回に3袋（束）まで。,station_limit,ごみ集積場所の1回あたり排出上限,general_rule,4,3,ごみ集積場所の1回あたり排出上限
事業系ごみ / rule:事業活動で生じたごみは松山市では収集しない（ごみ集積場所には出せない）。自社処理するか廃棄物許可業者に委託して処理する。,business_waste,事業系ごみ,general_rule,4,3,事業系ごみ
分別されていないごみ / rule:分別されていないごみは収集せず、「ごみ分別啓発シール」を貼って再分別をお願いする。,unseparated_waste,分別されていないごみ,general_rule,4,3,分別されていないごみ
生ごみの水切り3か条 / rules:ごみを水に濡らさない、乾かしてから捨てる、ごみを出す前にもうひとしぼり,food_waste_drain,生ごみの水切り3か条,general_rule,17,16,生ごみの水切り3か条
「木」の排出方法 / 対象:植木、枝、木、木の板、木の根、切株、庭木など / 重量が著しく大きいものは収集できない。 / 条件:直径や厚さが15cm以内 / 長さを50cm程度にすることができる / 結果:可燃ごみ / 1回に3束まで,wood_disposal_flow_within15_can50,「木」の排出方法,decision_branch,23,22,「木」の排出方法
「木」の排出方法 / 対象:植木、枝、木、木の板、木の根、切株、庭木など / 重量が著しく大きいものは収集できない。 / 条件:直径や厚さが15cm以内 / 長さを50cm程度にすることができない / 長さが150cm以内 / 結果:粗大ごみ / 粗大ごみの申込が可能,wood_disposal_flow_within15_cannot50_within150,「木」の排出方法,decision_branch,23,22,「木」の排出方法
「木」の排出方法 / 対象:植木、枝、木、木の板、木の根、切株、庭木など / 重量が著しく大きいものは収集できない。 / 条件:直径や厚さが15cm以内 / 長さを50cm程度にすることができない / 長さが150cm以内ではない / 結果:禁止,wood_disposal_flow_within15_cannot50_over150,「木」の排出方法,decision_branch,23,22,「木」の排出方法
「木」の排出方法 / 対象:植木、枝、木、木の板、木の根、切株、庭木など / 重量が著しく大きいものは収集できない。 / 条件:直径や厚さが15cm以内ではない / 長さを50cm程度にすることができる / 結果:埋立ごみ / 1回に3束まで,wood_disposal_flow_over15_can50,「木」の排出方法,decision_branch,23,22,「木」の排出方法
「木」の排出方法 / 対象:植木、枝、木、木の板、木の根、切株、庭木など / 重量が著しく大きいものは収集できない。 / 条件:直径や厚さが15cm以内ではない / 長さを50cm程度にすることができない / 結果:禁止 / どうしても切断できない場合は南クリーンセンターへ問い合わせ,wood_disposal_flow_over15_cannot50,「木」の排出方法,decision_branch,23,22,「木」の排出方法
辞典に品目の掲載がない場合 / rule:清掃課まで相談する。 / contact_ref:cleaning_division,not_listed,辞典に品目の掲載がない場合,general_rule,17,16,辞典に品目の掲載がない場合
3R / priority:Reduce（減らす）、Reuse（繰り返し使う）、Recycle（再生利用する）,3r,3R,general_rule,2,1,3R
