search_text,rule_id,category,display_name,record_type,source_pdf_pages,source_printed_pages,source_section
可燃ごみ / 分別区分:可燃 / frequency:週2回 / deadline:午前7時まで / collection_place:所定の場所 / container:白色半透明の45L以下の袋,category_可燃_basic,可燃,可燃ごみ,basic,6,5,可燃ごみの出し方
可燃ごみ / 分別区分:可燃 / container_notes:白色半透明のレジ袋は使用可,category_可燃_detail_01,可燃,可燃ごみ,container_notes,6,5,可燃ごみの出し方
可燃ごみ / 分別区分:可燃 / source_wording:ごみ集積場所に出せるごみは1回に3袋（束）までです。 / プラスチック製品でそれ自体を道具として使うもの / ライターは使いきり、水につけてから出してください。1回に2～3個程度まで。,category_可燃_detail_02,可燃,可燃ごみ,source_wording,6,5,可燃ごみの出し方
ペットボトル / 分別区分:ペット / frequency:月2回 / deadline:午前8時まで / collection_place:所定の場所 / container:無色透明の45L以下の袋,category_ペット_basic,ペット,ペットボトル,basic,7,6,ペットボトルの出し方
ペットボトル / 分別区分:ペット / schedule_note:5週目の曜日は収集がない。,category_ペット_detail_01,ペット,ペットボトル,schedule_note,7,6,ペットボトルの出し方
ペットボトル / 分別区分:ペット / eligibility:分別対象となるペットボトルはPETの法定識別マークが付いているもの。,category_ペット_detail_02,ペット,ペットボトル,eligibility,7,6,ペットボトルの出し方
ペットボトル / 分別区分:ペット / preparation:キャップは必ずはずす / ラベルも必ずはがす / 中をすすぐ / ペットボトル収集日に排出する,category_ペット_detail_03,ペット,ペットボトル,preparation,7,6,ペットボトルの出し方
ペットボトル / 分別区分:ペット / exceptions:化粧品、医薬品、洗剤・シャンプー、焼肉のたれ等、食用油脂を使用しているPET樹脂のボトル容器等は対象外で、プラスチック製容器包装の分別区分。,category_ペット_detail_04,ペット,ペットボトル,exceptions,7,6,ペットボトルの出し方
プラスチック製容器包装 / 分別区分:プラ / frequency:週1回 / deadline:午前8時まで / collection_place:所定の場所 / container:無色透明の45L以下の袋,category_プラ_basic,プラ,プラスチック製容器包装,basic,8|9,7|8,プラスチック製容器包装の出し方
プラスチック製容器包装 / 分別区分:プラ / eligibility:原則、プラマークが付いているもの。商品を使いきったり商品と分離した時に不要となるプラスチック素材の容器・包装（ペットボトルを除く）。,category_プラ_detail_01,プラ,プラスチック製容器包装,eligibility,8|9,7|8,プラスチック製容器包装の出し方
プラスチック製容器包装 / 分別区分:プラ / preparation:水気は切る / 汚れを取り除く / 汚れが取りにくいチューブ類なども、使いきってからすすぐ又は古布等でふき取る,category_プラ_detail_02,プラ,プラスチック製容器包装,preparation,8|9,7|8,プラスチック製容器包装の出し方
プラスチック製容器包装 / 分別区分:プラ / prohibitions:ごみ袋を二重にして出さない,category_プラ_detail_03,プラ,プラスチック製容器包装,prohibitions,8|9,7|8,プラスチック製容器包装の出し方
プラスチック製容器包装 / 分別区分:プラ / examples:カップ・パック・トレイ類 / ボトル類 / ポリ袋・ラベル・フィルム類 / キャップ類 / チューブ類 / 箱型・包装用発泡スチロールなど,category_プラ_detail_04,プラ,プラスチック製容器包装,examples,8|9,7|8,プラスチック製容器包装の出し方
紙類 / 分別区分:紙類 / frequency:隔週（2週に1回） / deadline:午前8時まで / collection_place:所定の場所 / container:十文字にひもを掛けて出す,category_紙類_basic,紙類,紙類,basic,10|11,9|10,紙類の出し方
紙類 / 分別区分:紙類 / prohibitions:ビニール袋は使用不可 / 箱のまま出さない / ガムテープ・ストッキングでしばらない,category_紙類_detail_01,紙類,紙類,prohibitions,10|11,9|10,紙類の出し方
紙類 / 分別区分:紙類 / subtypes:新聞紙・折り込みチラシ / 段ボール / 本類・雑がみ / 紙パック,category_紙類_detail_02,紙類,紙類,subtypes,10|11,9|10,紙類の出し方
紙類 / 分別区分:紙類 / paper_pack_rule:500ml以上の紙パックは必ず洗って開いて乾かす。内側が白色以外のものや500ml未満は可燃ごみ。,category_紙類_detail_03,紙類,紙類,paper_pack_rule,10|11,9|10,紙類の出し方
紙類 / 分別区分:紙類 / misc_paper_rule:雑がみは新聞・雑誌・段ボール・飲料用紙パック以外の紙類。ただし食品や洗剤が直接ふれているもの、金銀加工、ビニール加工されたものは可燃ごみ。,category_紙類_detail_04,紙類,紙類,misc_paper_rule,10|11,9|10,紙類の出し方
金物・ガラス類 / 分別区分:金・ガ / frequency:隔週（2週に1回） / deadline:午前8時まで / collection_place:所定の場所 / container:無色透明の45L以下の袋,category_金・ガ_basic,金・ガ,金物・ガラス類,basic,12,11,金物・ガラス類の出し方
金物・ガラス類 / 分別区分:金・ガ / preparation:空きびんはキャップをはずし、中身を使いきり、軽くすすぐ / 空き缶は中身を使いきり、軽くすすぐ / スプレー缶・カセットボンベは必ず使い切る。危険な穴あけはしない。使い切りは風通しのいい屋外で行う / 刃物・割れたガラスは紙で包み、「刃物」「われもの」等と表示して袋に入れる,category_金・ガ_detail_01,金・ガ,金物・ガラス類,preparation,12,11,金物・ガラス類の出し方
金物・ガラス類 / 分別区分:金・ガ / notes:土なべは埋立ごみ / ビールびん・一升びんなどはなるべく購入店などに返す / 一斗缶の中に缶やガラスなどを入れない,category_金・ガ_detail_02,金・ガ,金物・ガラス類,notes,12,11,金物・ガラス類の出し方
埋立ごみ / 分別区分:埋立 / frequency:月1回 / deadline:午前8時まで / collection_place:所定の場所 / container:無色透明の45L以下の袋,category_埋立_basic,埋立,埋立ごみ,basic,13,12,埋立ごみの出し方
埋立ごみ / 分別区分:埋立 / preparation:ブロック・レンガ・壺・植木鉢などは、1つであっても袋に入れて口をしばる又はひもでしばる / ごみ集積場所に出せるごみは1回に3袋（束）まで,category_埋立_detail_01,埋立,埋立ごみ,preparation,13,12,埋立ごみの出し方
埋立ごみ / 分別区分:埋立 / examples:土・砂・石・ブロック・レンガ / 乾電池 / 陶磁器類 / 白熱電球,category_埋立_detail_02,埋立,埋立ごみ,examples,13,12,埋立ごみの出し方
埋立ごみ / 分別区分:埋立 / notes:容積、重量が著しく大きいものは排出禁止 / 直径（厚さ）15cmを超える木（板）は「木」の排出方法フローを参照,category_埋立_detail_03,埋立,埋立ごみ,notes,13,12,埋立ごみの出し方
